                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.4582,                 1.0568,                0.98081,                  1.822,                 1.3793,                0.96599,                0.82838,                0.91035,                0.94149,                 0.6402,                 1.1643,                0.75369,                0.90094,                 1.1692,                0.55971,                0.91163,                0.00868,                0.00868,                0.00868
                     43,                 1.4636,                 1.0609,                0.98541,                 1.8032,                 1.3737,                 0.9671,                0.85795,                0.90278,                0.94653,                0.58542,                 1.3326,                0.75173,                0.92731,                 1.3707,                0.57255,                0.94103,               0.008647,               0.008647,               0.008647
                     44,                 1.4557,                 1.0782,                0.97676,                 1.7891,                 1.3834,                0.96321,                0.85104,                0.91035,                0.93914,                0.64888,                 1.1293,                0.67066,                 0.8907,                 1.1675,                0.50722,                0.91091,               0.008614,               0.008614,               0.008614
                     45,                 1.4546,                 1.0655,                0.97951,                 1.7808,                 1.3851,                0.96493,                0.88336,                0.88384,                0.94319,                0.63849,                 1.1584,                0.70303,                0.89619,                 1.1904,                 0.5199,                0.91179,               0.008581,               0.008581,               0.008581
                     46,                 1.4319,                 1.0408,                0.97986,                 1.7683,                 1.3383,                0.96497,                0.85674,                0.87753,                0.93071,                0.61013,                 1.2195,                0.73413,                  0.902,                 1.2553,                0.56853,                0.91742,               0.008548,               0.008548,               0.008548
                     47,                 1.4413,                 1.0518,                0.97038,                 1.7751,                  1.357,                0.96076,                0.85262,                0.90573,                0.93647,                0.63034,                 1.1718,                0.70531,                0.89628,                  1.172,                0.54059,                0.90915,               0.008515,               0.008515,               0.008515
                     48,                 1.4133,                 1.0391,                0.96938,                 1.7587,                 1.3412,                0.96049,                0.87157,                0.89646,                0.93774,                0.61759,                 1.1682,                0.71003,                0.89543,                 1.1955,                0.57576,                0.91121,               0.008482,               0.008482,               0.008482
                     49,                 1.4352,                 1.0523,                0.98073,                 1.7919,                 1.3644,                  0.967,                0.84789,                0.91919,                 0.9422,                0.65817,                 1.0913,                0.66354,                0.88511,                 1.0968,                0.52981,                0.89744,               0.008449,               0.008449,               0.008449
                     50,                  1.405,                 1.0567,                0.97669,                 1.7597,                 1.3583,                0.96562,                0.83889,                0.92043,                0.94017,                0.63383,                 1.1392,                0.66982,                0.88826,                 1.1903,                0.51936,                0.90917,               0.008416,               0.008416,               0.008416
                     51,                 1.4148,                 1.0292,                 0.9754,                 1.7653,                 1.3285,                0.96482,                0.84878,                0.90715,                 0.9395,                0.59619,                 1.1947,                0.71957,                0.90354,                 1.2596,                0.54719,                0.93046,               0.008383,               0.008383,               0.008383
                     52,                   1.39,                 1.0112,                0.95349,                 1.7733,                 1.3396,                0.95062,                0.85525,                0.90783,                0.94317,                0.61949,                 1.1835,                0.72345,                0.90468,                 1.2027,                0.56506,                0.92078,                0.00835,                0.00835,                0.00835
                     53,                 1.4073,                 1.0355,                0.97685,                 1.7556,                 1.3575,                0.96187,                0.87381,                0.90926,                0.93956,                0.58587,                  1.251,                 0.6957,                0.91112,                  1.284,                0.55631,                0.93334,               0.008317,               0.008317,               0.008317
                     54,                 1.3737,                 1.0013,                0.95847,                  1.707,                 1.3167,                0.94643,                0.87072,                0.91841,                0.94023,                0.64448,                 1.1031,                0.65689,                0.88457,                 1.1155,                0.52227,                0.89584,               0.008284,               0.008284,               0.008284
                     55,                 1.3733,                 1.0242,                0.96289,                  1.732,                 1.3114,                0.95576,                0.87162,                0.90008,                0.92497,                0.61729,                  1.163,                0.68353,                0.89323,                  1.204,                0.53932,                0.91409,               0.008251,               0.008251,               0.008251
                     56,                 1.3782,                 1.0288,                0.96636,                 1.7144,                 1.3444,                0.95611,                0.85815,                0.90152,                0.92225,                0.60895,                 1.1699,                0.66477,                 0.8976,                  1.185,                0.52086,                0.91161,               0.008218,               0.008218,               0.008218
                     57,                 1.3517,                0.97513,                0.95207,                 1.7324,                    1.3,                0.94468,                0.87331,                 0.9139,                0.94296,                0.64629,                  1.103,                0.64304,                 0.8839,                 1.1563,                0.47817,                0.90042,               0.008185,               0.008185,               0.008185
                     58,                 1.3697,                0.98856,                0.96273,                  1.715,                 1.3343,                0.94898,                0.86064,                0.90452,                0.92851,                0.62767,                 1.1426,                 0.6703,                0.89025,                 1.1547,                0.51993,                0.90696,               0.008152,               0.008152,               0.008152
                     59,                 1.3555,                 1.0021,                0.95408,                 1.6828,                 1.2881,                 0.9429,                0.87825,                0.91991,                0.94982,                0.61639,                 1.1851,                0.64673,                0.90048,                 1.2267,                0.51017,                0.91837,               0.008119,               0.008119,               0.008119
                     60,                 1.3406,                0.97211,                0.95551,                 1.6913,                 1.2501,                0.94528,                0.86564,                0.91105,                0.94249,                0.65153,                 1.0958,                0.64772,                0.88529,                 1.1305,                0.49717,                0.89834,               0.008086,               0.008086,               0.008086
                     61,                 1.3555,                0.98751,                0.95463,                 1.6928,                  1.316,                0.94161,                0.88557,                0.88131,                0.93198,                0.60547,                 1.2457,                0.71406,                0.90867,                 1.2868,                0.55653,                0.92595,               0.008053,               0.008053,               0.008053
                     62,                 1.3577,                0.99494,                0.95733,                  1.703,                 1.2954,                0.94895,                0.85527,                0.91162,                0.93354,                0.59971,                 1.2282,                0.68735,                0.90281,                 1.2715,                0.56098,                0.92005,                0.00802,                0.00802,                0.00802
                     63,                 1.3448,                 1.0003,                0.95111,                 1.7016,                 1.3221,                0.93785,                0.87591,                0.89125,                0.93589,                0.62324,                 1.1569,                0.66755,                0.88943,                 1.1708,                0.52376,                0.89834,               0.007987,               0.007987,               0.007987
                     64,                 1.3241,                0.97706,                0.95313,                 1.6503,                 1.2585,                0.94184,                0.86851,                0.91919,                0.94158,                0.64519,                 1.1264,                0.64028,                0.88921,                 1.1536,                0.48022,                0.90158,               0.007954,               0.007954,               0.007954
